Wall time,Step,Value
1767240820.5800617,81920,-5069.3232421875
1767241067.8169794,262144,-5181.6611328125
1767241132.9906132,311296,-5170.28076171875
1767241310.985782,442368,-4575.97802734375
1767241333.1611538,458752,-5197.4228515625
1767241624.646859,671744,-5289.134765625
1767241778.5394635,786432,-6413.287109375
1767241799.1765568,802816,-5663.02587890625
1767242067.7359965,1032192,-4306.6298828125
1767242086.8450558,1048576,-4327.2841796875
1767242161.1005971,1114112,-3797.173095703125
1767242233.2255034,1179648,-3486.2900390625
1767242340.8993518,1277952,-4503.3232421875
1767242432.4217637,1359872,-4597.43505859375
1767242559.5595434,1474560,-3486.797119140625
1767242744.4375088,1638400,-4510.06396484375
1767242818.5739136,1703936,-3899.70703125
1767242892.2481368,1769472,-3345.116943359375
1767243144.1460772,1998848,-4829.294921875
1767243217.132944,2064384,-2457.156005859375
1767243236.241806,2080768,-3372.10595703125
1767243273.1718829,2113536,-3675.927001953125
1767243309.4679284,2146304,-3177.47998046875
1767243420.87859,2244608,-3672.7060546875
1767243566.5939229,2375680,-3381.6259765625
1767243602.8265889,2408448,-3865.72998046875
1767243619.9053743,2424832,-3381.04296875
1767243672.0624697,2473984,-3476.635986328125
1767243798.261498,2588672,-3574.197998046875
1767243852.4782572,2637824,-3985.926025390625
1767243888.3802295,2670592,-3053.806884765625
1767243923.8406506,2703360,-3449.198974609375
1767244071.2565582,2834432,-3282.998046875
1767244163.5000925,2916352,-3593.009033203125
1767244288.176188,3031040,-3983.4150390625
1767244413.7402606,3145728,-3686.080078125
1767244431.8957996,3162112,-3695.284912109375
1767244628.3766804,3342336,-3177.81201171875
1767244668.3324873,3375104,-3596.64599609375
1767244812.8955066,3506176,-2828.527099609375
1767245110.7707536,3768320,-3498.14794921875
1767245384.8575826,4014080,-3158.2451171875
1767245403.0159557,4030464,-4299.18017578125
1767245644.2558372,4243456,-3466.221923828125
1767245662.3969507,4259840,-3370.18603515625
1767245877.138685,4456448,-3584.6240234375
1767245928.8520076,4505600,-3988.282958984375
1767246074.6304975,4636672,-3384.2890625
1767246128.8259208,4685824,-3560.346923828125
1767246181.919309,4734976,-3061.7548828125
1767246217.0012321,4767744,-3673.26708984375
1767246306.6116116,4849664,-3285.455078125
1767246345.235368,4882432,-3353.94189453125
1767246545.1366818,5062656,-3680.783935546875
1767246692.348806,5193728,-3785.633056640625
1767246728.634308,5226496,-2865.99609375
1767246746.840911,5242880,-3571.299072265625
1767246802.8414674,5292032,-4096.3759765625
1767247224.5954106,5668864,-4083.759033203125
1767247243.0063126,5685248,-3771.051025390625
1767247465.596724,5881856,-3383.81005859375
1767247574.9343545,5980160,-3358.091064453125
1767247593.4970007,5996544,-3159.702880859375
1767247612.0141933,6012928,-3042.5830078125
1767247824.9806864,6209536,-3575.123046875
1767247968.8404028,6340608,-2935.7109375
1767248040.232616,6406144,-2958.74609375
1767248074.560453,6438912,-3796.009033203125
1767248164.6613705,6520832,-3163.47509765625
1767248254.1081293,6602752,-2655.376953125
1767248287.4439397,6635520,-3252.18701171875
1767248480.505102,6815744,-4001.72802734375
1767248588.9631968,6914048,-4090.39111328125
1767248605.9625962,6930432,-3078.8369140625
1767248853.3718274,7159808,-1940.8370361328125
1767248870.1357422,7176192,-2839.14697265625
1767248905.7232885,7208960,-2829.39111328125
1767249032.696317,7323648,-2030.93701171875
1767249138.1058862,7421952,-3162.238037109375
1767249299.1511617,7569408,-3375.6640625
1767249370.6542447,7634944,-2132.27587890625
1767249422.6656797,7684096,-2399.825927734375
1767249458.6858363,7716864,-2759.115966796875
1767249529.097016,7782400,-3059.74609375
1767249547.453265,7798784,-3374.02099609375
1767249636.9332173,7880704,-3580.514892578125
1767249654.4396422,7897088,-3033.721923828125
1767249760.1126828,7995392,-3577.251953125
1767250163.0360944,8372224,-4054.805908203125
1767250197.788366,8404992,-3473.6298828125
1767250215.8204248,8421376,-3771.2919921875
1767250234.9580524,8437760,-3775.783935546875
1767250288.232054,8486912,-3677.987060546875
1767250323.0048056,8519680,-2738.35595703125
1767250571.47118,8749056,-3588.701904296875
1767250589.374052,8765440,-3476.6240234375
1767250625.199179,8798208,-3059.08203125
1767250662.0232847,8830976,-2757.615966796875
1767250697.297388,8863744,-3365.180908203125
1767250770.0209837,8929280,-3366.64697265625
1767250804.4668102,8962048,-2826.345947265625
1767250876.1965575,9027584,-2959.69189453125
1767250913.1316068,9060352,-3335.22607421875
1767250985.306499,9125888,-2832.662109375
1767251090.9975002,9224192,-3883.365966796875
1767251126.0750613,9256960,-3561.424072265625
1767251197.0997727,9322496,-3768.01611328125
1767251480.902364,9584640,-3263.757080078125
1767251584.7518625,9682944,-3887.360107421875
1767251653.261608,9748480,-3464.341064453125
1767251689.5234442,9781248,-3561.284912109375
1767251994.279959,10059776,-3455.85498046875
1767252012.123426,10076160,-3901.507080078125
1767252158.0842347,10207232,-3790.93798828125
1767252175.9980166,10223616,-3685.8759765625
1767252265.6796145,10305536,-2843.73291015625
1767252285.3507948,10321920,-3705.592041015625
1767252435.054959,10452992,-3076.531982421875
1767252542.7564692,10551296,-3255.049072265625
1767252560.565767,10567680,-2941.1650390625
1767252652.5888536,10649600,-3158.10595703125
1767252828.2450852,10797056,-2974.423095703125
1767252866.0787172,10829824,-3062.04296875
1767253003.626397,10944512,-3482.01708984375
1767253156.1109638,11075584,-3468.404052734375
1767253176.2260592,11091968,-2542.256103515625
1767253327.7709548,11223040,-3567.98388671875
1767253478.9403608,11354112,-3778.55810546875
1767253517.790848,11386880,-3127.97509765625
1767253830.829676,11649024,-4280.8251953125
1767254039.6286829,11829248,-3282.35791015625
1767254077.639728,11862016,-2550.263916015625
1767254115.5154176,11894784,-2437.083984375
1767254172.4143841,11943936,-2935.52587890625
1767254228.8948474,11993088,-3484.302001953125
1767254248.0270479,12009472,-2310.300048828125
1767254469.1707416,12206080,-2959.0849609375
1767254858.531292,12533760,-2849.447998046875
1767255070.2473605,12713984,-3150.02197265625
1767255089.706329,12730368,-3044.8740234375
1767255203.899289,12828672,-2946.60693359375
1767255319.527739,12926976,-3444.10791015625
1767255635.7720518,13189120,-3361.0400390625
1767255653.6587424,13205504,-3872.450927734375
1767255692.1000566,13238272,-2736.583984375
