Wall time,Step,Value
1764453912.6400847,98304,-7524.375
1764454134.141012,311296,-6228.5
1764454236.201272,409600,-7414.0
1764454505.0262775,671744,-5616.5
1764454539.9127493,704512,-5590.0
1764454595.4396145,753664,-6381.0
1764454736.28998,884736,-4512.0
1764454786.3245845,933888,-4503.5
1764455043.2977293,1179648,-5484.5
1764455097.3292313,1228800,-7198.0
1764455443.6855133,1556480,-4885.5
1764455582.3492432,1687552,-5406.5
1764455634.3551874,1736704,-5702.0
1764455651.8219142,1753088,-5988.0
1764455767.9455094,1867776,-4892.5
1764455992.867465,2080768,-4410.0
1764456214.5299246,2293760,-6289.5
1764456407.2879238,2473984,-4877.0
1764456492.4373777,2555904,-4073.0
1764456542.6063342,2605056,-3195.0
1764456695.9883342,2752512,-5315.5
1764456713.9019978,2768896,-5712.5
1764456886.4692369,2932736,-5495.0
1764456971.6815882,3014656,-5585.0
1764457004.1260278,3047424,-4077.5
1764457019.6945968,3063808,-3771.0
1764457086.8420982,3129344,-4595.0
1764457228.1163542,3260416,-4786.0
1764457361.938676,3391488,-5486.0
1764457378.9495897,3407872,-5698.0
1764457464.7889655,3489792,-4812.5
1764457657.7531717,3670016,-5511.5
1764457761.0544312,3768320,-4594.0
1764457846.7673414,3850240,-3816.5
1764458109.1067884,4096000,-4602.5
1764458208.690237,4194304,-5422.0
1764458296.0199795,4276224,-5127.0
1764458420.8212538,4390912,-5183.5
1764458489.1319187,4456448,-4003.0
1764458522.0942054,4489216,-5500.0
1764458847.9501505,4800512,-7028.0
1764458932.0518134,4882432,-6007.5
1764458949.2820945,4898816,-5696.0
1764459034.3453102,4980736,-5188.5
1764459115.754841,5062656,-5307.5
1764459151.7179372,5095424,-5024.5
1764459294.3939736,5226496,-5523.0
1764459311.2931297,5242880,-5715.5
1764459498.6341357,5423104,-5306.5
1764459656.4833324,5570560,-5495.0
1764459794.7705472,5701632,-7511.0
1764460075.5194116,5963776,-6414.0
1764460142.8737214,6029312,-5502.0
1764460316.2035596,6193152,-5703.0
1764461070.162427,6914048,-4587.5
1764461087.3046188,6930432,-4894.5
1764461228.2091467,7061504,-5290.0
1764461381.623834,7208960,-5180.5
1764461414.6198306,7241728,-5494.5
1764461431.6559741,7258112,-5682.5
1764461481.4825203,7307264,-5199.0
1764461589.880654,7405568,-6413.0
1764461748.1869013,7553024,-5498.5
1764461799.366577,7602176,-5619.5
1764461815.3868718,7618560,-5225.5
1764461984.5255861,7782400,-6737.5
1764462277.70055,8060928,-5602.0
1764462315.0808146,8093696,-6604.5
1764462646.3360972,8404992,-6617.5
1764462683.133329,8437760,-5901.5
1764462734.5544925,8486912,-6401.0
1764462875.0376143,8617984,-5401.0
