Wall time,Step,Value
1765138054.7521145,81920,-7170.3125
1765138216.95539,262144,-5532.5
1765138262.558123,311296,-5829.5
1765138379.997446,442368,-5810.5
1765138394.5768223,458752,-6117.5
1765138588.8979595,671744,-6322.5
1765138692.3624682,786432,-7996.5
1765138706.9572675,802816,-7195.0
1765138916.438384,1032192,-5793.5
1765138930.9034069,1048576,-5896.0
1765138991.0844107,1114112,-6092.0
1765139049.8624778,1179648,-5688.5
1765139140.9136424,1277952,-6912.5
1765139219.9976246,1359872,-6020.5
1765139326.311324,1474560,-5615.0
1765139477.394653,1638400,-6618.0
1765139535.5153542,1703936,-6424.0
1765139594.751937,1769472,-6394.5
1765139801.7292094,1998848,-5713.5
1765139861.1553884,2064384,-4513.0
1765139875.5879781,2080768,-4416.0
1765139908.7917433,2113536,-3810.0
1765139941.304062,2146304,-4294.5
1765140037.5783777,2244608,-4492.0
1765140154.4666805,2375680,-5113.5
1765140183.5679312,2408448,-5709.5
1765140197.6998658,2424832,-6408.0
1765140241.5669136,2473984,-6900.0
1765140346.139297,2588672,-5716.0
1765140388.5484664,2637824,-4734.5
1765140417.515527,2670592,-4238.0
1765140445.8111844,2703360,-4516.0
1765140560.804804,2834432,-5910.5
1765140636.6916454,2916352,-4371.5
1765140740.733619,3031040,-5690.5
1765140843.092271,3145728,-6613.5
1765140858.3364704,3162112,-6415.0
1765141033.7009568,3342336,-6385.0
1765141062.7827702,3375104,-7107.0
1765141180.3330443,3506176,-5416.0
1765141415.3777103,3768320,-3883.0
1765141634.6610816,4014080,-5398.5
1765141650.0733235,4030464,-5203.0
1765141853.5925038,4243456,-5103.0
1765141868.3435452,4259840,-4616.5
1765142050.2366128,4456448,-5921.0
1765142094.4422672,4505600,-7133.5
1765142215.261104,4636672,-4221.5
1765142263.1993942,4685824,-5134.0
1765142311.1061234,4734976,-5428.0
1765142340.5137336,4767744,-5719.0
1765142413.9428778,4849664,-6298.0
1765142442.8773015,4882432,-6105.0
1765142616.716939,5062656,-6823.0
1765142738.9562762,5193728,-6639.0
1765142771.1400843,5226496,-5926.5
1765142786.2779257,5242880,-6219.0
1765142833.1608346,5292032,-6415.5
1765143171.9482343,5668864,-6695.0
1765143186.4468038,5685248,-7101.5
1765143362.14515,5881856,-5433.0
1765143450.4372277,5980160,-8132.5
1765143465.3279169,5996544,-8425.0
1765143479.7508948,6012928,-8824.0
1765143657.244327,6209536,-6311.0
1765143775.0143204,6340608,-8507.0
1765143832.7855866,6406144,-7012.5
1765143862.2616932,6438912,-6302.5
1765143934.932089,6520832,-6094.5
1765144006.959297,6602752,-6017.0
1765144035.6809392,6635520,-5729.5
1765144204.4638445,6815744,-5824.0
1765144294.0714722,6914048,-6101.0
1765144308.7032573,6930432,-5904.0
1765144522.0907536,7159808,-5713.5
1765144538.1535554,7176192,-5816.0
1765144568.7466214,7208960,-5586.0
1765144678.8542774,7323648,-7103.5
1765144775.694228,7421952,-6707.5
1765144916.0599916,7569408,-6902.5
1765144973.3713188,7634944,-5732.5
1765145019.3537192,7684096,-6631.0
1765145048.6576376,7716864,-6732.5
1765145106.1330373,7782400,-6322.0
1765145120.895822,7798784,-5815.0
1765145195.361193,7880704,-4307.0
1765145209.8340955,7897088,-4308.5
1765145300.3147492,7995392,-6697.0
1765145645.4046519,8372224,-7713.5
1765145674.4976854,8404992,-7116.5
1765145689.2111444,8421376,-7114.0
1765145704.027752,8437760,-7206.5
1765145747.5947208,8486912,-7809.0
1765145777.7604127,8519680,-7399.0
1765145992.7998526,8749056,-6996.5
1765146007.0404544,8765440,-7712.0
1765146036.5970926,8798208,-7305.5
1765146065.2497158,8830976,-6911.5
1765146094.1084528,8863744,-6898.5
1765146154.3841357,8929280,-7120.0
1765146183.6287584,8962048,-7004.5
1765146242.3591316,9027584,-6204.0
1765146272.459541,9060352,-6907.0
1765146333.901994,9125888,-6207.0
1765146424.3088655,9224192,-7709.5
1765146453.8269882,9256960,-9011.0
1765146513.79995,9322496,-8594.0
1765146753.18837,9584640,-6192.0
1765146845.6096482,9682944,-6433.5
1765146902.7188957,9748480,-8026.5
1765146931.480832,9781248,-8615.0
1765147192.098123,10059776,-7434.0
1765147208.051798,10076160,-7827.5
1765147328.891784,10207232,-6914.5
1765147344.9759676,10223616,-7320.5
1765147424.7897375,10305536,-6817.5
1765147440.956462,10321920,-7612.0
1765147567.7543921,10452992,-7529.0
1765147656.866737,10551296,-8198.0
1765147671.0440204,10567680,-8204.0
1765147745.6217244,10649600,-6205.0
1765147882.5268207,10797056,-6524.5
1765147912.3349202,10829824,-6036.5
1765148014.2774014,10944512,-6332.5
1765148133.7247012,11075584,-6725.0
1765148148.0307918,11091968,-7116.0
1765148268.8674822,11223040,-7729.0
1765148386.1594608,11354112,-7631.0
1765148415.1185446,11386880,-8132.0
1765148649.1851692,11649024,-5515.5
1765148817.6834838,11829248,-5991.5
1765148849.0053918,11862016,-5396.5
1765148877.9692624,11894784,-4890.5
1765148922.237041,11943936,-4789.5
1765148967.7047718,11993088,-7103.5
1765148984.0112112,12009472,-7114.0
1765149178.0674798,12206080,-7804.0
1765149496.3677225,12533760,-7417.5
1765149662.8467393,12713984,-7932.0
