Wall time,Step,Value
1765579852.6202862,81920,-5329.54541015625
1765580084.3570437,262144,-3743.0
1765580143.5332918,311296,-4562.0
1765580310.0809677,442368,-3634.0
1765580328.3518655,458752,-4266.5
1765580596.3802233,671744,-4324.0
1765580741.137994,786432,-4462.5
1765580762.3311844,802816,-4245.0
1765581044.920915,1032192,-4323.5
1765581064.572802,1048576,-3918.5
1765581141.5159242,1114112,-3619.0
1765581222.7873363,1179648,-4733.5
1765581345.2982318,1277952,-3907.0
1765581447.0238996,1359872,-4048.0
1765581592.7696126,1474560,-4541.0
1765581798.6398952,1638400,-3818.0
1765581886.0247288,1703936,-3720.0
1765581970.898926,1769472,-4948.5
1765582265.5514097,1998848,-4543.0
1765582349.1736174,2064384,-3522.5
1765582368.5997605,2080768,-3311.5
1765582410.271301,2113536,-3725.0
1765582452.517531,2146304,-3833.5
1765582575.3871102,2244608,-4225.5
1765582737.3899546,2375680,-4033.5
1765582777.4004552,2408448,-3724.0
1765582795.6126294,2424832,-3504.5
1765582850.3657923,2473984,-3794.5
1765582983.600769,2588672,-3088.5
1765583046.8122797,2637824,-3425.5
1765583087.5412204,2670592,-3739.0
1765583130.5078323,2703360,-4014.0
1765583291.9842517,2834432,-4106.0
1765583393.7145364,2916352,-3803.5
1765583540.74128,3031040,-3695.5
1765583689.9641118,3145728,-4751.5
1765583709.7903526,3162112,-4760.5
1765583939.7358112,3342336,-5338.0
1765583980.416511,3375104,-5055.5
1765584148.5413873,3506176,-3750.0
1765584485.3005188,3768320,-4008.0
1765584795.166623,4014080,-3524.5
1765584815.8231862,4030464,-3410.0
1765585091.7979233,4243456,-4031.0
1765585113.1322796,4259840,-3408.5
1765585364.9478855,4456448,-4740.5
1765585427.4719424,4505600,-4858.0
1765585596.287569,4636672,-3544.0
1765585658.7325716,4685824,-4363.5
1765585717.924363,4734976,-4242.5
1765585760.5280967,4767744,-4664.0
1765585865.4018834,4849664,-4957.5
1765585907.4228258,4882432,-4951.0
1765586134.9044757,5062656,-4257.0
1765586296.5740008,5193728,-3630.0
1765586339.0558891,5226496,-4031.0
1765586359.1835957,5242880,-3818.0
1765586420.6509042,5292032,-4239.0
1765586882.8439393,5668864,-5774.5
1765586904.1207876,5685248,-5473.0
1765587161.376622,5881856,-3033.5
1765587289.8320346,5980160,-3708.0
1765587309.357007,5996544,-3505.0
1765587330.2041988,6012928,-3499.5
1765587578.9618824,6209536,-4223.5
1765587742.3059938,6340608,-5282.0
1765587819.2339964,6406144,-4144.5
1765587861.5075166,6438912,-4652.5
1765587967.432935,6520832,-4114.5
1765588069.4134545,6602752,-4555.0
1765588113.0352266,6635520,-3642.5
1765588346.3271542,6815744,-3301.5
1765588470.883592,6914048,-3711.0
1765588491.1048923,6930432,-3695.0
1765588751.6794834,7159808,-3092.5
1765588771.5548286,7176192,-3408.5
1765588814.2949517,7208960,-3290.5
1765588959.3915339,7323648,-4532.5
1765589086.4298995,7421952,-4664.5
1765589275.3052785,7569408,-4332.5
1765589360.6910238,7634944,-4360.0
1765589425.0613177,7684096,-4970.0
1765589466.79015,7716864,-5076.5
1765589550.6652775,7782400,-4960.0
1765589569.9640567,7798784,-4237.0
1765589672.222466,7880704,-3524.5
1765589693.232468,7897088,-3930.5
1765589820.9950871,7995392,-4215.0
1765590311.634366,8372224,-4242.5
1765590354.1045685,8404992,-4369.5
1765590375.681793,8421376,-4768.5
1765590397.0243485,8437760,-5076.0
1765590459.4413445,8486912,-6100.0
1765590498.8936098,8519680,-4971.5
1765590779.7850482,8749056,-4408.0
1765590799.9921107,8765440,-4114.5
1765590835.5279284,8798208,-4216.0
1765590877.884828,8830976,-4313.5
1765590919.2850657,8863744,-4530.5
1765590999.4903843,8929280,-4240.0
1765591041.2680566,8962048,-4431.5
1765591127.2171922,9027584,-4613.5
1765591171.4445467,9060352,-4427.0
1765591259.7381318,9125888,-3913.5
1765591385.037824,9224192,-6407.0
1765591422.7694814,9256960,-6405.5
1765591500.0015702,9322496,-6085.5
1765591808.6638982,9584640,-4203.5
