Wall time,Step,Value
1764034559.5565243,81920,-8773.1591796875
1764034794.5402343,262144,-5720.763671875
1764034860.0774772,311296,-5820.91259765625
1764035033.5449152,442368,-6120.916015625
1764035055.526244,458752,-6520.6572265625
1764035335.3807366,671744,-5419.8701171875
1764035487.9547086,786432,-7121.8369140625
1764035509.5181215,802816,-6622.43994140625
1764035811.575798,1032192,-6720.56494140625
1764035832.8810184,1048576,-6220.38916015625
1764035919.5500443,1114112,-6221.400390625
1764036001.2770038,1179648,-6721.6025390625
1764036127.1346364,1277952,-7722.4775390625
1764036232.4026709,1359872,-5821.5966796875
1764036376.4282937,1474560,-6620.0380859375
1764036592.835412,1638400,-7620.69189453125
1764036675.1590312,1703936,-6120.80419921875
1764036759.669417,1769472,-6322.2880859375
1764037061.3803034,1998848,-6124.26904296875
1764037149.6856134,2064384,-4523.4755859375
1764037171.701625,2080768,-4523.12353515625
1764037216.9753246,2113536,-4522.8759765625
1764037260.7833524,2146304,-4823.57861328125
1764037390.9222116,2244608,-4624.2802734375
1764037554.3362908,2375680,-6124.05810546875
1764037596.1059203,2408448,-6324.19580078125
1764037615.9407527,2424832,-6523.84326171875
1764037678.7503204,2473984,-7024.46728515625
1764037828.2707653,2588672,-5323.72216796875
1764037890.9490237,2637824,-4222.41796875
1764037932.4793723,2670592,-5021.486328125
1764037974.6512885,2703360,-5922.689453125
1764038132.7565336,2834432,-6425.57763671875
1764038235.5566874,2916352,-5629.3173828125
1764038376.7227442,3031040,-6329.1240234375
1764038527.426067,3145728,-6529.953125
1764038548.7445757,3162112,-6930.4033203125
1764038783.147897,3342336,-6931.49365234375
1764038827.0194368,3375104,-6930.521484375
1764038991.6831348,3506176,-6226.06640625
1764039311.6033034,3768320,-5826.24072265625
1764039624.958615,4014080,-4924.66015625
1764039644.7638242,4030464,-4823.72265625
1764039915.3827186,4243456,-5524.18505859375
1764039935.7771127,4259840,-4522.93212890625
1764040182.663204,4456448,-6026.96533203125
1764040245.602677,4505600,-6627.4111328125
1764040411.9117866,4636672,-4125.77294921875
1764040471.7391906,4685824,-4924.23583984375
1764040533.819012,4734976,-6124.08447265625
1764040573.625566,4767744,-7024.61962890625
1764040679.136689,4849664,-7426.1396484375
1764040721.7344558,4882432,-6225.091796875
1764040957.414128,5062656,-5625.251953125
