Wall time,Step,Value
1763822670.0571663,81920,-6271.80224609375
1763822902.7713454,262144,-5420.345703125
1763822964.979548,311296,-5421.1748046875
1763823139.1155293,442368,-5821.8193359375
1763823160.2941856,458752,-6021.57080078125
1763823417.3550336,671744,-5218.9443359375
1763823563.1721852,786432,-6321.46630859375
1763823582.1372032,802816,-5821.4296875
1763823879.1277287,1032192,-6021.60302734375
1763823901.74132,1048576,-4721.6962890625
1763823985.4052196,1114112,-5222.51416015625
1763824069.2127879,1179648,-6822.15283203125
1763824191.6295984,1277952,-6620.01806640625
1763824291.8069284,1359872,-5820.0224609375
1763824432.368649,1474560,-5821.08740234375
1763824643.203242,1638400,-6123.53857421875
1763824727.8869345,1703936,-5523.263671875
1763824808.1053078,1769472,-7523.61669921875
1763825099.4851458,1998848,-6523.6689453125
1763825183.9173517,2064384,-4422.2470703125
1763825202.835111,2080768,-4121.67138671875
1763825245.1311498,2113536,-3121.37060546875
1763825285.410466,2146304,-4422.00927734375
1763825409.2706616,2244608,-4522.25439453125
1763825577.8544745,2375680,-6119.95068359375
1763825617.1345143,2408448,-6520.4130859375
1763825635.9696593,2424832,-6621.1396484375
1763825697.7717206,2473984,-7022.4423828125
1763825852.1519983,2588672,-5421.85009765625
1763825928.841081,2637824,-4620.15380859375
1763825973.0939457,2670592,-4819.7578125
1763826016.5813782,2703360,-5720.61572265625
1763826217.5905704,2834432,-6421.466796875
1763826343.3181188,2916352,-5522.259765625
1763826525.1424868,3031040,-5623.0673828125
1763826711.492338,3145728,-5521.31689453125
1763826737.6394866,3162112,-5720.82666015625
1763827033.7210119,3342336,-5921.5283203125
1763827086.0968463,3375104,-5520.765625
1763827301.6796227,3506176,-5220.34033203125
1763827749.2716887,3768320,-5221.47021484375
1763828158.6194277,4014080,-4621.5830078125
1763828187.6544309,4030464,-4521.23681640625
1763828537.9235919,4243456,-5121.58203125
1763828564.0754538,4259840,-4220.49658203125
1763828888.8191833,4456448,-5121.0029296875
1763828972.7250562,4505600,-5920.83154296875
1763829189.024388,4636672,-3420.9794921875
1763829269.4359455,4685824,-4220.90771484375
1763829355.731749,4734976,-4821.37255859375
1763829409.3650136,4767744,-5221.3095703125
1763829557.2617614,4849664,-6022.35302734375
1763829614.466589,4882432,-5422.18701171875
1763829923.7099192,5062656,-4721.22998046875
1763830137.2090888,5193728,-3321.806884765625
1763830190.3267283,5226496,-3622.034423828125
1763830216.8468955,5242880,-3922.903076171875
1763830301.294548,5292032,-4823.51123046875
1763830949.8873587,5668864,-5726.4482421875
1763830978.33064,5685248,-5726.515625
1763831313.253908,5881856,-3824.35400390625
1763831483.0396607,5980160,-5025.2587890625
1763831509.741222,5996544,-5425.9443359375
1763831536.9881577,6012928,-5626.0927734375
1763831869.0852327,6209536,-5024.484375
1763832098.5118408,6340608,-6625.80126953125
1763832204.174983,6406144,-5224.93212890625
1763832258.026988,6438912,-5324.43408203125
1763832394.0442297,6520832,-6924.7431640625
1763832525.5136514,6602752,-5923.67431640625
1763832579.4049482,6635520,-4722.71142578125
1763832881.2852318,6815744,-5821.52392578125
1763833044.7402513,6914048,-5623.38916015625
1763833073.3610427,6930432,-5423.251953125
1763833462.0022135,7159808,-4724.16162109375
1763833490.3751168,7176192,-4823.697265625
1763833544.77159,7208960,-5024.37646484375
1763833728.2686927,7323648,-7124.0859375
1763833887.226576,7421952,-8722.890625
1763834135.5945182,7569408,-6522.43359375
1763834245.018122,7634944,-6321.20849609375
1763834325.8892474,7684096,-7221.13671875
1763834379.9578214,7716864,-6920.6328125
1763834487.6678095,7782400,-5820.25927734375
1763834513.4738927,7798784,-5420.08349609375
1763834654.4093368,7880704,-4619.18115234375
1763834686.2903075,7897088,-4819.12646484375
1763834847.9342773,7995392,-6420.68798828125
1763835375.3419218,8372224,-6620.93603515625
1763835420.6864557,8404992,-6220.888671875
1763835442.276559,8421376,-6121.0869140625
1763835462.71108,8437760,-6521.63330078125
1763835526.7431767,8486912,-8022.875
1763835569.5860112,8519680,-7723.50732421875
1763835871.704741,8749056,-6723.98486328125
1763835889.576696,8765440,-6423.56298828125
1763835929.9643629,8798208,-6623.78466796875
1763835971.2728016,8830976,-6223.5322265625
1763836014.0811074,8863744,-5923.701171875
1763836104.014324,8929280,-6422.3359375
1763836146.042073,8962048,-6622.5859375
1763836229.8851166,9027584,-6821.8056640625
1763836270.9415574,9060352,-6322.220703125
1763836363.7909,9125888,-6022.38330078125
1763836480.4122503,9224192,-7222.181640625
1763836518.3593998,9256960,-8422.6279296875
1763836601.005002,9322496,-8623.494140625
1763836943.992549,9584640,-5924.40234375
1763837068.3052483,9682944,-6321.9501953125
1763837150.24568,9748480,-7521.677734375
1763837193.2593374,9781248,-7221.84521484375
1763837543.8937342,10059776,-6919.72998046875
1763837565.7380812,10076160,-7220.0341796875
1763837736.8572564,10207232,-7421.5390625
1763837757.7230785,10223616,-7421.2119140625
1763837862.7194057,10305536,-6921.0673828125
1763837881.5695899,10321920,-7621.830078125
1763838046.0509672,10452992,-6721.4326171875
1763838169.3682494,10551296,-6622.0419921875
1763838188.3110275,10567680,-7021.9521484375
1763838286.504923,10649600,-5522.0380859375
1763838455.5904825,10797056,-7022.16796875
1763838496.5272024,10829824,-7021.6708984375
1763838643.9830837,10944512,-7020.45947265625
1763838814.826761,11075584,-6719.67919921875
1763838838.050745,11091968,-6820.14111328125
1763839002.6031666,11223040,-6920.20556640625
1763839158.2479997,11354112,-7119.8896484375
1763839201.1317866,11386880,-7719.6708984375
1763839510.3826911,11649024,-5418.4580078125
1763839737.626414,11829248,-6420.7734375
1763839776.48551,11862016,-5620.24267578125
1763839817.0188375,11894784,-4820.23779296875
1763839877.6542883,11943936,-5120.2353515625
1763839943.3041852,11993088,-6521.43603515625
1763839964.626823,12009472,-6121.07861328125
1763840213.0939314,12206080,-6720.263671875
1763840634.7014194,12533760,-5819.34326171875
1763840865.739481,12713984,-6720.45166015625
1763840885.1572511,12730368,-6920.90380859375
1763840998.833333,12828672,-9221.1083984375
1763841113.620798,12926976,-8621.150390625
1763841461.9828117,13189120,-5720.80810546875
1763841483.43749,13205504,-5920.3720703125
1763841525.6362581,13238272,-6020.77294921875
1763841588.4527721,13287424,-6821.13134765625
1763841779.6995623,13434880,-6619.3056640625
1763842061.0654085,13647872,-7619.9638671875
1763842222.0130076,13778944,-6420.4453125
1763842284.8239021,13828096,-6820.0244140625
1763842569.128067,14057472,-8620.9970703125
1763842670.485205,14139392,-8220.689453125
1763842754.6116595,14204928,-8120.564453125
1763842855.8898387,14286848,-7819.60205078125
1763843169.0633576,14532608,-4217.52294921875
1763843389.076986,14712832,-5719.87939453125
1763843472.878449,14778368,-5219.62548828125
1763843621.995001,14893056,-5120.61572265625
1763844078.6510856,15253504,-6621.22705078125
1763844119.2675564,15286272,-6121.25732421875
1763844329.8466098,15450112,-7922.56640625
