Wall time,Step,Value
1763555304.226721,65536,-7522.57373046875
1763555326.3109977,81920,-7679.1162109375
1763555455.4245906,180224,-6922.90087890625
1763555538.1169803,245760,-5521.703125
1763555559.8609548,262144,-5821.36083984375
1763555625.293965,311296,-6022.123046875
1763555645.4776127,327680,-6622.810546875
1763555666.828465,344064,-6623.380859375
1763555710.732681,376832,-6623.9169921875
1763555732.1216583,393216,-6823.93310546875
1763555794.73395,442368,-6523.7724609375
1763555815.365764,458752,-6923.6455078125
1763556050.8305519,638976,-6123.72509765625
1763556095.6849563,671744,-5823.60693359375
1763556246.9565523,786432,-8025.57373046875
1763556269.5927877,802816,-7324.97802734375
1763556292.238334,819200,-7024.2470703125
1763556336.143345,851968,-6223.615234375
1763556402.2908845,901120,-4221.65478515625
1763556465.4836016,950272,-5621.97314453125
1763556527.510279,999424,-7222.923828125
1763556549.4461246,1015808,-7123.17431640625
1763556571.0783916,1032192,-7022.8603515625
1763556593.9815361,1048576,-5922.2626953125
1763556637.5988214,1081344,-6122.63427734375
1763556659.8229144,1097728,-5822.84228515625
1763556680.7550838,1114112,-5722.71826171875
1763556702.8457942,1130496,-5422.24609375
1763556746.3597164,1163264,-6422.388671875
1763556767.9873152,1179648,-6922.54833984375
1763556897.3328052,1277952,-6620.83251953125
1763556941.2084613,1310720,-6119.5244140625
1763556999.2193189,1359872,-5719.5244140625
1763557062.8010566,1409024,-6819.3681640625
1763557147.5028703,1474560,-6320.09716796875
1763557367.5268145,1638400,-7020.30126953125
1763557455.3208451,1703936,-7119.88232421875
1763557524.0069716,1753088,-7921.142578125
1763557545.7077,1769472,-8221.470703125
1763557589.992883,1802240,-8821.2548828125
1763557742.0032427,1916928,-6518.97607421875
1763557856.355666,1998848,-6119.3564453125
1763557943.9271502,2064384,-4919.33056640625
1763557966.0819337,2080768,-4819.13427734375
1763558008.5649874,2113536,-4819.4970703125
1763558052.2090409,2146304,-5920.89697265625
1763558182.7140813,2244608,-6021.408203125
1763558204.6633596,2260992,-6420.66796875
1763558356.6997206,2375680,-5619.35107421875
1763558399.0267575,2408448,-5619.44091796875
1763558420.2851312,2424832,-5919.76953125
1763558488.07561,2473984,-6720.43359375
1763558640.289216,2588672,-5819.82080078125
1763558703.488208,2637824,-4518.6650390625
1763558747.6104906,2670592,-4918.68212890625
1763558791.30003,2703360,-5420.10546875
1763558917.6382296,2801664,-5922.44677734375
1763558939.2317452,2818048,-6422.85693359375
1763558960.6089053,2834432,-6422.4306640625
1763559068.622494,2916352,-6523.84765625
1763559155.1835113,2981888,-6723.37353515625
1763559221.2581959,3031040,-5923.0400390625
1763559242.9529407,3047424,-5422.92578125
1763559264.8269532,3063808,-5823.02587890625
1763559350.545604,3129344,-5722.46630859375
1763559371.8563256,3145728,-5922.82177734375
1763559393.1048026,3162112,-6122.44189453125
1763559540.8254128,3276800,-5523.240234375
1763559606.0991957,3325952,-6023.62548828125
1763559627.133404,3342336,-6123.81982421875
1763559649.3489742,3358720,-6123.87158203125
1763559671.0487838,3375104,-6623.7666015625
1763559712.6534777,3407872,-6423.4736328125
1763559803.4194014,3473408,-6022.4462890625
1763559846.7561765,3506176,-5621.802734375
1763559891.1752994,3538944,-5721.466796875
1763559978.0461664,3604480,-6420.5390625
1763559999.1233904,3620864,-5720.212890625
1763560020.6995363,3637248,-6020.45458984375
1763560085.5599556,3686400,-6220.87939453125
1763560188.3260128,3768320,-4621.85693359375
1763560401.8799424,3932160,-5723.17529296875
1763560509.5158303,4014080,-4123.10302734375
1763560530.0167909,4030464,-4222.67578125
1763560554.5643125,4046848,-3822.08154296875
1763560729.6477072,4177920,-6224.521484375
1763560816.1875484,4243456,-6125.11865234375
1763560837.740445,4259840,-5724.333984375
1763560860.6070778,4276224,-5224.1923828125
1763561101.4974496,4456448,-5722.162109375
1763561164.7659433,4505600,-6222.67919921875
1763561207.4243615,4538368,-6222.84521484375
1763561250.5917048,4571136,-6023.59912109375
1763561293.1787996,4603904,-5122.25244140625
1763561336.0606434,4636672,-5021.59619140625
1763561402.072581,4685824,-5621.41259765625
1763561467.20133,4734976,-5622.41455078125
1763561508.7283244,4767744,-6722.68212890625
1763561616.2005725,4849664,-7124.11865234375
1763561659.9601815,4882432,-6823.47021484375
1763561681.7232153,4898816,-6423.67626953125
1763561857.2839317,5029888,-5822.64404296875
1763561900.3803446,5062656,-5422.32958984375
1763561989.458602,5128192,-5320.76708984375
1763562072.4368691,5193728,-5721.61865234375
1763562117.8339927,5226496,-5822.83203125
1763562140.2989652,5242880,-6023.35595703125
1763562205.9418693,5292032,-6324.63134765625
1763562529.5927086,5537792,-6923.86669921875
1763562551.5488865,5554176,-7023.47705078125
1763562660.6245396,5636096,-6622.927734375
1763562705.6234267,5668864,-6523.98046875
1763562726.2228618,5685248,-6323.85986328125
1763562857.3361392,5783552,-4923.80029296875
1763562899.477453,5816320,-4522.82470703125
1763562984.3465805,5881856,-4522.35986328125
