Wall time,Step,Value
1762303643.7296631,14404,-6081.66259765625
1762303665.570534,28808,-5954.16064453125
1762303683.4670782,43212,-5911.822265625
1762303701.4153426,57616,-5830.08935546875
1762303718.2539036,72020,-5475.853515625
1762303735.3036883,86424,-5659.81591796875
1762303752.3830855,100828,-5648.23291015625
1762303769.3835676,115232,-5670.09375
1762303787.6724212,129636,-5798.25146484375
1762303804.7700777,144040,-5599.921875
1762303822.1431715,158444,-5756.94189453125
1762303839.9701848,172848,-5867.7431640625
1762303857.1647735,187252,-5786.75537109375
1762303875.1945314,201656,-5753.4716796875
1762303892.6281238,216060,-5724.50927734375
1762303910.1631644,230464,-5761.494140625
1762303927.4238925,244868,-5691.3369140625
1762303945.154024,259272,-5656.70068359375
1762303962.6967547,273676,-5639.03369140625
1762303981.0676062,288080,-5711.41015625
1762303998.929555,302484,-5741.25634765625
1762304016.7969282,316888,-5710.49169921875
1762304035.2312667,331292,-5693.29638671875
1762304053.0959697,345696,-5688.33740234375
1762304070.955747,360100,-5663.4658203125
1762304089.477373,374504,-5622.99658203125
1762304107.550688,388908,-5582.93017578125
1762304127.060366,403312,-5593.009765625
1762304145.4411156,417716,-5592.45654296875
1762304164.217945,432120,-5723.2900390625
1762304182.4349258,446524,-5662.86279296875
1762304200.770809,460928,-5712.34716796875
1762304219.7231913,475332,-5772.75537109375
1762304238.1914146,489736,-5792.87646484375
1762304257.283084,504140,-5822.98583984375
1762304276.578371,518544,-5692.32958984375
1762304295.4610016,532948,-5622.31298828125
1762304314.9358811,547352,-5672.9453125
1762304333.7948623,561756,-5733.28466796875
1762304352.7877502,576160,-5763.953125
1762304372.041075,590564,-5804.50048828125
1762304410.6095996,619372,-5995.37744140625
1762304429.3500443,633776,-6065.880859375
1762304448.5584524,648180,-6015.708984375
1762304467.700657,662584,-6045.470703125
1762304486.633446,676988,-6106.28466796875
1762304505.770005,691392,-6167.06884765625
1762304525.202983,705796,-6207.408203125
1762304544.4615474,720200,-6318.31201171875
1762304563.983409,734604,-6328.1611328125
1762304584.031167,749008,-6298.0009765625
1762304603.6618345,763412,-6207.63134765625
1762304623.216925,777816,-6248.072265625
1762304643.247199,792220,-6218.658203125
1762304662.8860714,806624,-6360.08251953125
1762304682.8072028,821028,-6340.79248046875
1762304702.7255018,835432,-6321.0966796875
1762304722.4203753,849836,-6321.25830078125
1762304742.5561187,864240,-6462.416015625
1762304762.3940027,878644,-6593.13525390625
1762304782.651955,893048,-6612.255859375
