Wall time,Step,Value
1763683350.8820944,81920,-6429.2333984375
1763683506.6389415,245760,-5722.25341796875
1763683521.6194606,262144,-5921.47265625
1763683569.8485088,311296,-6921.79931640625
1763683586.0022357,327680,-6822.01416015625
1763683695.6191146,442368,-6621.04736328125
1763683711.9712045,458752,-7021.10009765625
1763683910.1186402,671744,-6020.23583984375
1763684019.9301548,786432,-8523.8818359375
1763684036.2446923,802816,-8223.83203125
1763684052.4892042,819200,-7823.56640625
1763684253.2901173,1032192,-7922.42578125
1763684269.1854901,1048576,-7022.7841796875
1763684316.6821587,1097728,-7023.76123046875
1763684332.7535799,1114112,-7023.8671875
1763684381.2095199,1163264,-6523.4072265625
1763684397.5534592,1179648,-6923.5927734375
1763684489.3152888,1277952,-6422.21484375
1763684566.8646636,1359872,-6320.9990234375
1763684676.308078,1474560,-5922.1611328125
1763684834.154104,1638400,-6823.68505859375
1763684896.5878484,1703936,-6923.56591796875
1763684959.7666986,1769472,-8624.541015625
1763685183.964927,1998848,-6626.6220703125
1763685246.2489235,2064384,-5426.64111328125
1763685261.867029,2080768,-6125.5302734375
1763685295.0715737,2113536,-6025.28564453125
1763685325.969771,2146304,-6825.99658203125
1763685419.3662472,2244608,-6524.21142578125
1763685546.7010865,2375680,-5523.40673828125
1763685578.1427228,2408448,-6123.95849609375
1763685594.2478323,2424832,-6124.16796875
1763685642.6712625,2473984,-6425.4736328125
1763685752.9732332,2588672,-6024.7958984375
1763685800.3965437,2637824,-5422.88330078125
1763685832.4137433,2670592,-6022.275390625
1763685862.2146883,2703360,-6123.0439453125
1763685986.8228436,2834432,-5523.36572265625
1763686062.9867485,2916352,-5122.38623046875
1763686169.9219973,3031040,-6519.91015625
1763686184.3482842,3047424,-6119.87548828125
1763686273.696101,3145728,-7421.91845703125
1763686289.4012756,3162112,-7621.57470703125
1763686458.6715434,3342336,-5922.38427734375
1763686488.4273179,3375104,-6121.89697265625
1763686612.8555758,3506176,-7121.9892578125
1763686644.402269,3538944,-6922.12255859375
1763686785.0320058,3686400,-5822.00732421875
1763686864.0992556,3768320,-5020.6728515625
1763687095.5987978,4014080,-5021.1845703125
1763687110.9331267,4030464,-4620.57373046875
1763687313.1821547,4243456,-5719.71923828125
1763687329.4823437,4259840,-4919.14404296875
1763687517.4810448,4456448,-6820.23095703125
1763687563.6144674,4505600,-7220.21240234375
1763687685.2234,4636672,-5019.32763671875
1763687734.1913016,4685824,-6019.32373046875
1763687780.8774765,4734976,-6719.9833984375
1763687812.6360135,4767744,-7620.41943359375
1763687892.1420612,4849664,-7623.02685546875
1763687922.8033402,4882432,-7823.2744140625
1763687939.0287163,4898816,-7123.7763671875
1763688097.4351885,5062656,-5821.6416015625
1763688158.9696207,5128192,-4820.77685546875
1763688222.2970965,5193728,-5221.70556640625
1763688254.7354834,5226496,-5022.1787109375
1763688269.4909317,5242880,-5622.49560546875
1763688316.6344354,5292032,-6523.26953125
1763688677.1519158,5668864,-7223.1630859375
1763688692.0643907,5685248,-7223.12109375
1763688880.5001194,5881856,-4921.83740234375
1763688975.6662745,5980160,-6922.876953125
1763688991.8569667,5996544,-6923.09814453125
1763689006.3499265,6012928,-7223.2646484375
1763689191.788014,6209536,-5722.10595703125
1763689317.2961028,6340608,-7924.09033203125
1763689378.5972154,6406144,-6222.7021484375
1763689409.392144,6438912,-6223.1904296875
1763689485.465439,6520832,-6624.3173828125
1763689562.558917,6602752,-5523.2841796875
1763689591.5450294,6635520,-5022.6162109375
1763689762.14004,6815744,-6022.54296875
1763689855.140442,6914048,-7323.94677734375
1763689869.7231615,6930432,-6924.029296875
1763690087.6028988,7159808,-7024.06640625
1763690104.002385,7176192,-6724.05908203125
1763690134.7755663,7208960,-6224.9814453125
1763690245.1168828,7323648,-7724.91552734375
1763690338.7477784,7421952,-8823.72265625
1763690405.133375,7487488,-7323.7119140625
1763690489.2005746,7569408,-8023.646484375
1763690551.2405736,7634944,-7321.81005859375
