Wall time,Step,Value
1767739450.0458555,81920,2950.10009765625
1767739822.4104102,262144,3373.955078125
1767739922.5269885,311296,3218.39990234375
1767740187.3093104,442368,2954.034912109375
1767740220.0658896,458752,3233.6650390625
1767740647.166355,671744,3117.590087890625
1767740878.343572,786432,3090.5048828125
1767740911.325029,802816,3305.580078125
1767741368.754524,1032192,3505.385009765625
1767741401.2297034,1048576,2958.739990234375
1767741530.4905224,1114112,2612.85498046875
1767741659.0730288,1179648,3555.465087890625
1767741849.5812125,1277952,2733.429931640625
1767742010.9353602,1359872,3099.235107421875
1767742237.0556808,1474560,3041.925048828125
1767742539.6296425,1638400,3097.7099609375
1767742657.230848,1703936,3290.4951171875
1767742772.5778873,1769472,3511.97509765625
1767743183.5466516,1998848,3494.625
1767743301.5029984,2064384,2979.18994140625
1767743330.0451484,2080768,3550.89501953125
1767743388.4870393,2113536,3182.97509765625
1767743446.3930886,2146304,3327.72998046875
1767743624.073748,2244608,3034.679931640625
1767743849.766122,2375680,3458.06005859375
1767743908.1424744,2408448,3484.264892578125
1767743937.2800808,2424832,3182.31494140625
1767744026.085975,2473984,3138.22509765625
1767744228.601815,2588672,3443.6650390625
1767744316.258313,2637824,3240.52001953125
1767744373.7259774,2670592,2903.97998046875
1767744437.2381358,2703360,3234.655029296875
1767744671.2790413,2834432,3455.7451171875
1767744819.7272496,2916352,2902.5048828125
1767745021.1970596,3031040,3414.60498046875
1767745222.627458,3145728,3599.81494140625
1767745248.325491,3162112,3560.344970703125
1767745560.0777357,3342336,3166.264892578125
1767745618.1059878,3375104,3404.510009765625
1767745849.6634047,3506176,3420.050048828125
1767746310.6280713,3768320,3073.5
1767746735.2839077,4014080,3333.905029296875
1767746761.9038923,4030464,3259.06005859375
1767747124.5651798,4243456,3239.925048828125
1767747149.9685013,4259840,3022.47509765625
1767747478.2248504,4456448,3347.68994140625
1767747560.856704,4505600,3224.77001953125
1767747781.3051414,4636672,3389.4951171875
1767747864.9717448,4685824,3773.469970703125
1767747948.6156385,4734976,3209.659912109375
1767748006.3579712,4767744,3178.72998046875
1767748148.9330382,4849664,3238.919921875
1767748201.2730284,4882432,3427.389892578125
1767748513.2678614,5062656,3166.31005859375
1767748735.0815706,5193728,3321.3798828125
1767748789.9215457,5226496,3196.31494140625
1767748819.143056,5242880,3298.72509765625
1767748902.7272906,5292032,3339.02490234375
1767749534.3742933,5668864,3274.919921875
1767749561.6414704,5685248,3109.52001953125
1767749882.3023655,5881856,3582.14501953125
1767750050.5311055,5980160,3456.715087890625
1767750078.77641,5996544,3708.8701171875
1767750107.0875437,6012928,3271.340087890625
1767750431.532371,6209536,3577.81494140625
1767750649.5053535,6340608,3396.955078125
1767750756.9959364,6406144,3735.635009765625
1767750812.6826944,6438912,3399.429931640625
1767750948.4071035,6520832,3296.89501953125
1767751083.2512743,6602752,3064.875
1767751138.509547,6635520,3230.889892578125
1767751440.5773466,6815744,3313.8349609375
1767751606.249106,6914048,2981.215087890625
1767751633.8263278,6930432,3381.375
1767752023.8105931,7159808,3384.784912109375
1767752053.4778297,7176192,3147.409912109375
1767752109.734354,7208960,3507.469970703125
1767752301.6423738,7323648,3255.735107421875
1767752463.749793,7421952,3329.60498046875
1767752713.5879855,7569408,3344.034912109375
1767752827.6218946,7634944,3628.639892578125
1767752911.0761528,7684096,3554.719970703125
1767752967.2541232,7716864,3273.60009765625
1767753078.317625,7782400,3127.0849609375
1767753107.0685313,7798784,3314.550048828125
1767753247.3063588,7880704,3720.489990234375
1767753272.1901448,7897088,3413.93505859375
1767753436.1434934,7995392,3291.955078125
1767754072.8177798,8372224,3448.860107421875
1767754122.8105671,8404992,3099.715087890625
1767754147.6141784,8421376,3640.110107421875
1767754176.4367945,8437760,3311.659912109375
1767754262.591475,8486912,3670.340087890625
1767754314.8543303,8519680,3327.044921875
1767754695.6110847,8749056,3732.60498046875
1767754722.1463199,8765440,3361.195068359375
1767754776.9630165,8798208,3239.64501953125
1767754833.2765431,8830976,3300.81494140625
1767754888.436814,8863744,3507.989990234375
1767754995.9842458,8929280,3383.054931640625
1767755048.8190918,8962048,3550.614990234375
1767755157.1648254,9027584,3611.85498046875
1767755210.7487135,9060352,3614.300048828125
1767755321.9678645,9125888,3266.909912109375
1767755490.5229475,9224192,3710.5048828125
1767755545.6496637,9256960,3583.905029296875
1767755656.4831476,9322496,3378.340087890625
1767756101.767881,9584640,3520.4951171875
1767756271.5480099,9682944,3678.22509765625
1767756380.0074828,9748480,3328.679931640625
1767756435.1975782,9781248,3406.955078125
1767756908.5828137,10059776,3253.885009765625
1767756937.0236309,10076160,3727.72998046875
1767757159.5639727,10207232,3404.284912109375
1767757187.1218925,10223616,3263.7451171875
1767757325.7659729,10305536,3237.93994140625
